Baisley Park,Queens,29.360455779130838
Flushing Meadows-Corona Park,Queens,27.304845733617686
South Jamaica,Queens,26.29491623987347
Randalls Island,Manhattan,24.15098994022753
Astoria Park,Queens,21.706417112147523
Briarwood/Jamaica Hills,Queens,19.94506463178934
Springfield Gardens South,Queens,19.468309288781903
Jamaica,Queens,19.283943000137896
Corona,Queens,18.228769248155967
LaGuardia Airport,Queens,18.181338808372995
Jamaica Bay,Queens,17.100529446757896
Maspeth,Queens,17.00545064007954
Eltingville/Annadale/Prince's Bay,Staten Island,16.837764756944452
JFK Airport,Queens,16.777725348249632
Battery Park,Manhattan,12.849780311142876
Morningside Heights,Manhattan,12.453698026584076
Battery Park City,Manhattan,12.4488484044286
Greenwich Village North,Manhattan,12.446949891694036
Rikers Island,Bronx,12.3063
World Trade Center,Manhattan,12.295411924133374
